estudante,atrasado,dist,sem
Gabriela,0,12.5,7
Patricia,0,13.3,10
Gustavo,0,13.4,8
Leticia,0,23.5,7
Luiz Ovidio,0,9.5,8
Leonor,0,13.5,10
Dalila,0,13.5,10
Antonio,0,15.4,10
Julia,0,14.7,10
Mariana,0,14.7,10
Roberto,0,13.7,10
Renata,0,11,10
Guilherme,0,18.4,10
Rodrigo,0,11,11
Giulia,0,11,10
Felipe,0,12,7
Karina,0,14,10
Pietro,0,11.2,10
Cecilia,0,13,10
Gisele,0,12,6
Elaine,0,17,10
Kamal,0,12,9
Rodolfo,0,12,10
Pilar,0,13,5
Vivian,0,11.7,10
Danielle,0,17,10
Juliana,0,14.4,10
Adriano,0,13.5,10
Adelino,0,13,10
Carolina,0,12,10
Cristina,0,9.5,10
Eduardo,0,15.8,10
Zenilda,0,16,10
Cintia,0,11.5,10
Raimundo,0,12.9,10
Luciana,0,13,10
Emerson,0,12,10
Raquel,0,14,11
Anna Luiza,0,12,10
Claudio,0,11.6,10
Moara,0,12.3,10
Fernanda,1,22,11
Edson,1,29,10
Nuno,1,18.7,10
Braulio,1,22,11
Marcelo,1,19,10
Lucia,1,15,10
Camilo,1,15,10
Filomena,1,12.8,11
Lidia,1,13.2,10
Gilmar,1,16.5,10
Itamar,1,10.5,10
Tatiana,1,19,12
Alessandra,1,11.5,10
Ester,1,17,10
Marcela,1,19,10
Viviane,1,15,10
Bianca,1,20,10
Angelica,1,15.5,11
Frederico,1,17,10
Franklin,1,15,10
Inacio,1,17,12
Lilian,1,14,10
Lucio,1,15,10
Soraya,1,12,11
Amanda,1,13.8,10
Cristiane,1,13,11
Cida,1,17,10
Zilda,1,13,11
Ana Lucia,1,13,10
Robson,1,28,10
Renato,1,17,10
Marina,1,12,11
Flavia,1,18,10
Adriana,1,14.8,10
Alexandre,1,1,12
Cleber,1,12.1,11
Paola,1,1,11
Ana Paula,1,17,10
Andrea,1,10.2,11
Shirley,1,11,17
Edinalva,1,18.7,10
Ernani,1,12.2,10
Afonso,1,10.5,10
Reinaldo,1,11.5,10
Cesar,1,12,10
Bruna,1,14.2,11
Marcia,1,13,10
Fabiana,1,12,10
Rebeca,1,11,18
Sandra,1,12,10
Geovani,1,15.4,11
Rita,1,17,10
Giovanna,1,19,10
Jaqueline,1,10.1,15
Sheila,1,24,10
Pedro,1,10,10
Horacio,1,9.4,10
Leandro,1,14.2,10
Estela,1,1,13
