estudante,atrasado,dist,sem
Gabriela,chegou atrasado segunda aula,20.5,15
Patricia,chegou atrasado segunda aula,21.2999992370605,18
Gustavo,chegou atrasado segunda aula,21.3999996185303,16
Leticia,chegou atrasado segunda aula,31.5,15
Luiz Ovidio,chegou atrasado segunda aula,17.5,16
Leonor,chegou atrasado segunda aula,21.5,18
Dalila,chegou atrasado segunda aula,21.5,18
Antonio,chegou atrasado segunda aula,23.3999996185303,18
Julia,chegou atrasado segunda aula,22.7000007629395,18
Mariana,chegou atrasado segunda aula,22.7000007629395,18
Roberto,chegou atrasado segunda aula,21.7000007629395,18
Renata,chegou atrasado segunda aula,19,18
Guilherme,chegou atrasado segunda aula,26.3999996185303,18
Rodrigo,chegou atrasado primeira aula,16,16
Giulia,chegou atrasado segunda aula,19,18
Felipe,chegou atrasado segunda aula,20,15
Karina,chegou atrasado segunda aula,22,18
Pietro,chegou atrasado segunda aula,19.2000007629395,18
Cecilia,chegou atrasado segunda aula,21,18
Gisele,chegou atrasado segunda aula,20,14
Elaine,chegou atrasado primeira aula,22,15
Kamal,chegou atrasado segunda aula,20,17
Rodolfo,chegou atrasado segunda aula,20,18
Pilar,chegou atrasado segunda aula,21,13
Vivian,chegou atrasado primeira aula,16.7000007629395,15
Danielle,nao chegou atrasado,17,10
Juliana,nao chegou atrasado,14.3999996185303,10
Adriano,chegou atrasado primeira aula,18.5,15
Adelino,chegou atrasado segunda aula,21,18
Carolina,chegou atrasado primeira aula,17,15
Cristina,chegou atrasado primeira aula,14.5,15
Eduardo,chegou atrasado primeira aula,20.7999992370605,15
Zenilda,nao chegou atrasado,16,10
Cintia,chegou atrasado segunda aula,19.5,18
Raimundo,chegou atrasado segunda aula,20.8999996185303,18
Luciana,chegou atrasado segunda aula,21,18
Emerson,chegou atrasado segunda aula,20,18
Raquel,chegou atrasado segunda aula,22,19
Anna Luiza,chegou atrasado segunda aula,20,18
Claudio,chegou atrasado segunda aula,19.6000003814697,18
Moara,chegou atrasado segunda aula,20.2999992370605,18
Fernanda,nao chegou atrasado,22,11
Edson,nao chegou atrasado,29,10
Nuno,chegou atrasado primeira aula,23.7000007629395,15
Brauio,nao chegou atrasado,22,11
Marcelo,nao chegou atrasado,19,10
Lucia,nao chegou atrasado,15,10
Camilo,nao chegou atrasado,15,10
Filomena,nao chegou atrasado,12.8000001907349,11
Lidia,chegou atrasado segunda aula,21.2000007629395,18
Gilmar,chegou atrasado segunda aula,24.5,18
Itamar,chegou atrasado segunda aula,18.5,18
Tatiana,nao chegou atrasado,19,12
Alessandra,nao chegou atrasado,11.5,10
Ester,nao chegou atrasado,17,10
Marcela,nao chegou atrasado,19,10
Viviane,chegou atrasado primeira aula,20,15
Bianca,nao chegou atrasado,20,10
Angelica,nao chegou atrasado,15.5,11
Frederico,nao chegou atrasado,17,10
Franklin,nao chegou atrasado,15,10
Inacio,nao chegou atrasado,17,12
Lilian,chegou atrasado primeira aula,19,15
Lucio,chegou atrasado primeira aula,20,15
Soraya,nao chegou atrasado,12,11
Amanda,chegou atrasado primeira aula,18.7999992370605,15
Cristiane,nao chegou atrasado,13,11
Cida,nao chegou atrasado,17,10
Zilda,nao chegou atrasado,13,11
Ana Lucia,nao chegou atrasado,13,10
Robson,nao chegou atrasado,28,10
Renato,nao chegou atrasado,17,10
Marina,nao chegou atrasado,12,11
Flavia,nao chegou atrasado,18,10
Adriana,nao chegou atrasado,14.8000001907349,10
Alexandre,nao chegou atrasado,1,12
Cleber,nao chegou atrasado,12.1000003814697,11
Paola,nao chegou atrasado,1,11
Ana Paula,nao chegou atrasado,17,10
Andrea,nao chegou atrasado,10.1999998092651,11
Shirley,nao chegou atrasado,11,17
Edinalva,nao chegou atrasado,18.7000007629395,10
Ernani,nao chegou atrasado,12.1999998092651,10
Afonso,nao chegou atrasado,10.5,10
Reinaldo,nao chegou atrasado,11.5,10
Cesar,nao chegou atrasado,12,10
Bruna,nao chegou atrasado,14.1999998092651,11
Marcia,chegou atrasado primeira aula,18,15
Fabiana,chegou atrasado primeira aula,17,15
Rebeca,nao chegou atrasado,11,18
Sandra,nao chegou atrasado,12,10
Geovani,nao chegou atrasado,15.3999996185303,11
Rita,nao chegou atrasado,17,10
Giovanna,nao chegou atrasado,19,10
Jaqueline,nao chegou atrasado,10.1000003814697,15
Sheila,nao chegou atrasado,24,10
Pedro,chegou atrasado primeira aula,15,15
Horacio,chegou atrasado primeira aula,14.3999996185303,15
Leandro,chegou atrasado segunda aula,22.2000007629395,18
Estela,nao chegou atrasado,1,13
